time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,solar
1633026600,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,26.61,29.06,23.31,0.82,1009.3,2.2,3.13,113,0.56,0,16.093,275.3,NAN,NAN
1633030200,Humid and Partly Cloudy,partly-cloudy-night,0.0302,0.01,26.23,28.3,23.14,0.83,1009.0,1.96,2.47,117,0.44,0,16.093,274.9,rain,NAN
1633033800,Humid and Partly Cloudy,partly-cloudy-night,0.1596,0.02,25.8,27.13,23.06,0.85,1008.9,1.86,2.48,112,0.38,0,16.093,274.5,rain,NAN
1633037400,Humid and Partly Cloudy,partly-cloudy-night,0.1773,0.03,25.17,25.97,22.94,0.87,1008.7,1.79,2.33,100,0.37,0,16.093,274.0,rain,NAN
1633041000,Humid and Partly Cloudy,partly-cloudy-night,0.0939,0.02,24.5,25.34,22.61,0.89,1008.7,1.83,2.6,94,0.36,0,16.093,273.6,rain,NAN
1633044600,Humid and Partly Cloudy,partly-cloudy-night,0.0393,0.02,24.19,25.02,22.42,0.9,1008.8,1.61,2.25,85,0.35,0,16.093,274.2,rain,NAN
1633048200,Humid and Partly Cloudy,partly-cloudy-night,0.0332,0.02,24.43,25.21,22.6,0.9,1009.0,1.4,1.56,74,0.31,0,16.093,275.6,rain,NAN
1633051800,Humid,clear-day,0.0449,0.03,25.31,26.56,23.13,0.88,1009.5,1.31,1.4,101,0.27,0,16.093,276.3,rain,"{'azimuth': 99, 'altitude': 8, 'dni': 300.5, 'ghi': 62.4, 'dhi': 5.7, 'etr': 1357.4}"
1633055400,Humid,clear-day,0.0305,0.03,26.56,28.99,23.57,0.84,1010.0,1.19,1.21,150,0.26,1,16.093,276.4,rain,"{'azimuth': 107, 'altitude': 21, 'dni': 632.4, 'ghi': 245, 'dhi': 22.3, 'etr': 1357.5}"
1633059000,Humid,clear-day,0.0368,0.02,27.88,31.64,23.85,0.79,1010.2,1.57,1.57,191,0.27,3,16.093,276.8,rain,"{'azimuth': 118, 'altitude': 33, 'dni': 732.9, 'ghi': 435.4, 'dhi': 39.6, 'etr': 1357.5}"
1633062600,Humid,clear-day,0.0293,0.02,29.17,34.01,24.17,0.75,1010.1,2.11,2.11,240,0.3,5,16.093,276.9,rain,"{'azimuth': 131, 'altitude': 44, 'dni': 774, 'ghi': 586, 'dhi': 53.3, 'etr': 1357.5}"
1633066200,Humid and Partly Cloudy,partly-cloudy-day,0.0236,0.02,30.25,35.85,24.35,0.71,1009.7,2.22,2.22,247,0.31,6,16.093,276.0,rain,"{'azimuth': 150, 'altitude': 52, 'dni': 796.3, 'ghi': 687.9, 'dhi': 62.5, 'etr': 1357.6}"
1633069800,Humid,clear-day,0.0159,0.02,31.2,37.17,24.31,0.67,1008.9,2.54,2.54,196,0.28,7,16.093,275.2,rain,"{'azimuth': 174, 'altitude': 56, 'dni': 822.9, 'ghi': 748.8, 'dhi': 68.1, 'etr': 1357.6}"
1633073400,Humid,clear-day,0.0185,0.02,31.86,37.65,23.93,0.63,1007.9,3.38,3.42,15,0.23,7,16.093,274.8,rain,"{'azimuth': 200, 'altitude': 54, 'dni': 841, 'ghi': 749.4, 'dhi': 68.1, 'etr': 1357.6}"
1633077000,Humid,clear-day,0.0289,0.02,32.19,37.69,23.59,0.61,1006.8,4.14,4.36,335,0.26,6,16.093,274.2,rain,"{'azimuth': 222, 'altitude': 47, 'dni': 806.2, 'ghi': 653.7, 'dhi': 59.4, 'etr': 1357.7}"
1633080600,Humid,clear-day,0.0262,0.02,32.26,37.58,23.42,0.6,1006.2,4.42,5.0,305,0.26,4,16.093,273.4,rain,"{'azimuth': 237, 'altitude': 38, 'dni': 764.4, 'ghi': 511.2, 'dhi': 46.5, 'etr': 1357.7}"
1633084200,Humid,clear-day,0.0141,0.01,31.9,37.6,23.84,0.62,1005.9,4.02,5.21,309,0.24,2,16.093,272.5,rain,"{'azimuth': 248, 'altitude': 26, 'dni': 693.1, 'ghi': 334.3, 'dhi': 30.4, 'etr': 1357.7}"
1633087800,Humid,clear-day,0.0067,0.01,31.39,37.51,24.36,0.66,1005.7,3.23,5.24,326,0.27,0,16.093,272.3,rain,"{'azimuth': 257, 'altitude': 14, 'dni': 486.2, 'ghi': 129.7, 'dhi': 11.8, 'etr': 1357.8}"
1633091400,Humid,clear-day,0.0,0.0,30.46,35.97,24.17,0.69,1005.8,2.58,5.01,352,0.25,0,16.093,272.6,NAN,"{'azimuth': 265, 'altitude': 1, 'dni': 149.3, 'ghi': 12.3, 'dhi': 1.1, 'etr': 1357.8}"
1633095000,Humid,clear-night,0.0,0.0,29.45,34.28,23.99,0.72,1006.5,2.44,4.2,0,0.21,0,16.093,272.7,NAN,NAN
1633098600,Humid,clear-night,0.0,0.0,28.73,33.06,23.89,0.75,1007.3,2.12,2.63,347,0.24,0,16.093,272.7,NAN,NAN
1633102200,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,27.96,31.6,23.62,0.77,1007.7,1.44,1.44,353,0.33,0,16.093,272.4,NAN,NAN
1633105800,Humid and Partly Cloudy,partly-cloudy-night,0.0,0.0,27.33,30.4,23.42,0.79,1007.9,1.17,1.19,60,0.39,0,16.093,271.9,NAN,NAN
1633109400,Humid and Partly Cloudy,partly-cloudy-night,0.1012,0.04,26.64,29.08,23.15,0.81,1007.8,1.64,2.0,58,0.38,0,16.093,271.8,rain,NAN
1633113000,Humid,clear-night,0.1827,0.07,25.88,27.23,22.79,0.83,1007.6,2.02,2.86,65,0.29,0,16.093,272.0,rain,NAN
1633116600,Humid and Partly Cloudy,partly-cloudy-night,0.1512,0.07,25.6,26.34,22.74,0.84,1007.5,1.87,3.21,90,0.42,0,16.093,271.4,rain,NAN
1633120200,Humid and Mostly Cloudy,partly-cloudy-night,0.0936,0.06,25.45,26.26,22.7,0.85,1007.3,1.64,2.95,119,0.62,0,16.093,270.7,rain,NAN
1633123800,Humid and Mostly Cloudy,partly-cloudy-night,0.0493,0.05,24.74,25.55,22.47,0.87,1007.0,1.55,2.48,115,0.61,0,16.093,271.2,rain,NAN
1633127400,Humid and Partly Cloudy,partly-cloudy-night,0.0546,0.04,23.9,24.71,22.24,0.9,1007.0,1.66,2.59,99,0.58,0,16.093,272.1,rain,NAN
